Video_ID,Title,beautiful,funny,ingenious,ok,fascinating,total_count,persuasive,inspiring,longwinded,informative,jaw-dropping,obnoxious,confusing,courageous,unconvincing,Totalviews,Retention_time_in_days,Video_Length_(sec),Nb_Words_in_Transcript_(without_tags),Words_per_second,Keywords,Is_a_Talk?
1033,New data on the rise of women,26,37,16,91,172,1970,166,224,63,360,57,359,43,74,282,786951,2238,972,3116,3.20576131687,gender equality;culture;economics;education;feminism;global issues;women,Yes
1034,How to learn? From mistakes,115,16,113,133,192,2886,534,984,52,439,42,22,26,167,51,1721137,2238,605,1872,3.09421487603,tedx;children;culture;education,Yes
1036,Let's talk parenting taboos,180,693,98,186,192,3228,175,481,70,588,36,66,12,365,86,2052699,2237,1028,3194,3.10700389105,children;communication;culture;education;entertainment;sex;web,Yes
1037,The case for collaborative consumption,58,20,242,74,336,2636,512,681,38,483,57,23,18,57,37,1080508,2236,994,2539,2.55432595573,tedx;business;cities;collaboration;communication;consumerism;culture;technology;trust,Yes
1039,Life lessons from big cats,386,40,16,12,282,1850,130,373,2,191,235,2,3,171,7,827477,2233,1040,2630,2.52884615385,africa;animals;environment;film;global issues;photography,Yes
104,Cradle to cradle design,135,75,410,25,281,3268,907,683,49,250,205,39,27,148,34,1352314,3586,1205,3558,2.95269709544,architecture;business;china;cities;culture;design;environment;global issues;sustainability;technology,Yes
1040,Why we have too few women leaders,402,155,120,213,442,8881,1309,3624,47,1009,227,80,46,1081,126,6783140,2232,898,2699,3.00556792873,gender equality;business;education;feminism;goal-setting;leadership;technology;women;women in business,Yes
1041,3 stories of local eco-entrepreneurship,46,10,42,28,42,790,113,294,21,100,21,3,6,57,7,568015,2231,1079,2990,2.77108433735,tedx;business;cities;community;economics;green,Yes
1043,Using our practical wisdom,69,8,82,98,185,2596,574,788,91,374,34,18,9,172,94,905150,2222,1387,3490,2.516222062,culture;global issues;happiness;philosophy;self,Yes
1044,How to succeed? Get more sleep,140,1074,150,519,125,4731,534,642,55,355,44,298,70,208,517,3953266,2219,250,504,2.016,business;culture;entertainment;productivity,Yes
1045,On reading the Koran,883,197,127,155,854,6193,581,1067,60,1181,232,73,61,473,249,1764881,2218,573,1186,2.06980802792,tedx;culture;global issues;journalism;religion,Yes
1046,Your brain on improv,79,334,375,76,825,2780,74,292,26,465,90,14,19,88,23,1202950,2217,991,2710,2.73461150353,tedx;brain;creativity;entertainment;music;science;technology,Yes
1047,A test that finds 3x more breast tumors  and why it's not available to you,60,5,199,34,181,2791,480,424,17,621,295,10,4,435,26,865482,2216,1268,2997,2.36356466877,business;cancer;medicine;science;technology,Yes
1048,The 3 A's of awesome,1267,842,155,180,584,8682,551,3970,102,141,217,37,17,561,58,2756108,2215,1053,2945,2.7967711301,tedx;books;happiness;life;love;personal growth;psychology;writing,Yes
1049,A realistic vision for world peace,47,11,13,82,32,1249,216,362,57,117,15,33,15,168,81,631214,2212,652,1525,2.33895705521,activism;global issues;humanity;nuclear weapons;peace,Yes
105,The electricity metaphor for the web's future,18,130,65,62,93,1049,66,163,80,264,16,13,24,14,41,686114,3583,1031,2977,2.88748787585,ted brain trust;united states;business;entrepreneur;history;innovation;invention;technology;web,Yes
1050,We are all cyborgs now,122,139,216,245,556,2530,184,312,38,450,70,22,36,41,99,1397433,2211,473,1585,3.35095137421,anthropology;computers;culture;cyborg;future;technology,Yes
1051,How I built a toaster -- from scratch,16,510,238,89,234,1671,20,159,41,150,53,20,10,97,34,1270217,2210,651,1497,2.29953917051,anthropocene;design;entertainment;technology,Yes
1052,Take "the Other" to lunch,278,30,76,143,96,2529,352,901,82,112,16,59,21,230,133,1063203,2209,668,1348,2.01796407186,communication;global issues;politics,Yes
1053,Gaming to re-engage boys in learning,16,8,73,144,172,2352,517,309,52,572,62,51,15,201,160,907366,2208,750,2212,2.94933333333,tedx;bullying;children;education;gaming;psychology;technology;violence,Yes
1054,Addicted to risk,31,13,29,59,89,2394,607,407,58,456,154,79,13,304,95,876358,2205,1189,3001,2.52396972246,activism;business;culture;economics;science;social change,Yes
1055,Singing after a double lung transplant,221,9,5,30,72,1461,24,474,43,23,195,37,7,310,11,506139,2204,1085,2030,1.87096774194,health care;medicine;music;science;technology,Yes
1056,The economic injustice of plastic,38,76,32,109,45,1569,233,329,88,235,22,85,45,70,162,407056,2203,769,2133,2.77373211964,anthropocene;tedx;business;communication;global issues;green;inequality;plastic;poverty;science,Yes
1057,Visualizing the medical data explosion,33,5,149,21,311,1088,20,94,10,181,244,2,10,2,6,446969,2202,996,3243,3.25602409639,tedx;data;health;medicine;science;technology;virtual reality;visualizations,Yes
1058,Silicon-based comedy,44,400,158,194,185,1371,7,78,20,70,41,26,21,25,102,732969,2201,364,774,2.12637362637,ai;comedy;entertainment;humor;robots;science;technology,Yes
1059,Understanding the rise of China,71,66,117,148,789,4391,713,494,74,1341,254,39,28,129,128,2203864,2198,1290,2998,2.32403100775,asia;business;china;culture;economics;global issues,Yes
1060,It's time to redesign medical data,16,3,204,40,92,1443,405,209,20,384,22,6,2,26,14,475693,2197,993,3170,3.19234642497,business;design;health;medicine;science;technology,Yes
1061,Drawing on humor for change,97,749,93,177,62,2021,105,447,15,64,14,11,18,98,71,1244313,2196,402,989,2.46019900498,art;comedy;culture;feminism;humor;media;peace;women,Yes
1062,The council of dads,106,26,9,32,24,700,32,269,38,10,16,9,12,110,7,453117,2195,1233,4035,3.27250608273,cancer;community;culture;storytelling,Yes
1064,Reviving New York's rivers -- with oysters!,35,36,172,39,126,884,77,155,7,140,13,13,13,23,35,306709,2191,607,1602,2.6392092257,architecture;biology;cities;design,Yes
1065,We are makers,11,50,50,147,90,1013,94,271,58,125,17,13,13,14,60,700416,2190,707,1916,2.71004243281,cities;collaboration;computers;curiosity;design;drones;hack;innovation;manufacturing;media;technology,Yes
1066,Social media and the end of gender,22,22,41,254,150,1568,175,113,44,464,7,30,35,21,190,1210761,2189,507,1295,2.55424063116,advertising;culture;entertainment;media;social media,Yes
1067,Are we born to run?,71,120,93,92,702,3348,485,829,38,600,112,27,23,59,97,2320956,2188,952,3118,3.27521008403,tedx;entertainment;health;journalism;science;sports,Yes
1068,Poems of war  peace  women  power,327,7,45,42,84,1174,29,305,15,7,96,17,17,160,23,563839,2187,353,640,1.81303116147,culture;global issues;performance;poetry;war;women,Yes
1069,How to make work-life balance work,424,935,203,210,381,7686,1314,3186,18,394,110,29,15,421,46,3551901,2184,605,1379,2.27933884298,tedx;business;culture;life;motivation;work;work-life balance,Yes
1070,The rise of personal robots,49,48,194,113,363,1713,109,283,51,258,73,33,13,18,108,1034520,2183,844,2593,3.07227488152,ai;body language;business;communication;design;entertainment;robots;technology,Yes
1071,Mother and daughter doctor-heroes,71,5,12,14,58,727,16,291,2,24,50,0,0,184,0,331228,2182,523,1204,2.30210325048,community;global issues;health;medicine;politics;science;women,Yes
1072,Using nature's genius in architecture,152,10,1100,33,782,4917,571,1308,11,507,345,8,8,68,14,1652950,2181,826,2727,3.3014527845,architecture;biomimicry;design;science and art;sustainability,Yes
1073,A whistleblower you haven't heard,244,174,48,41,206,1118,5,83,38,4,216,30,4,14,11,1608144,2180,716,662,0.924581005587,tedx;entertainment;live music;music;performance,No
1074,Reconnecting with compassion,170,0,11,47,37,946,122,314,47,80,11,16,10,41,40,657051,2177,953,2340,2.45540398741,charter for compassion;compassion;faith;religion;science,Yes
1075,The linguistic genius of babies,150,89,342,135,1590,4778,288,481,21,1314,265,18,21,27,37,2318034,2176,617,1584,2.56726094003,tedx;brain;children;language;science;technology,Yes
1076,Inspiring a life of immersion,290,4,27,99,107,2237,261,853,70,107,54,6,13,302,44,814781,2175,1068,2804,2.62546816479,culture;economics;global issues;investment;women in business,Yes
1077,The future of business is the "mesh",7,8,44,62,50,699,68,138,37,200,10,7,18,13,37,696449,2174,887,2372,2.67418263811,business;technology,Yes
1078,On being a woman and a diplomat,64,210,20,28,120,1444,129,482,12,119,38,32,4,171,15,699621,2173,779,2206,2.83183568678,foreign policy;gender equality;business;iraq,Yes
1079,How to use experts -- and when not to,39,3,47,138,108,2093,353,278,178,315,27,99,30,210,268,855568,2170,1098,2083,1.8970856102,business;choice;culture;economics,Yes
108,A mockingbird remix of TED2006,223,167,188,17,112,1014,8,120,7,4,133,11,8,11,5,627804,3583,251,718,2.86055776892,entertainment;memory;performance;poetry;spoken word;storytelling,Yes
1080,Saving faces,16,3,34,31,166,761,42,103,10,179,92,6,8,67,4,610806,2169,954,2731,2.86268343816,surgery;body language;community;culture;design;medical research;science;science and art,Yes
1081,Curating humanity's heritage,172,12,11,44,50,772,36,176,38,35,13,71,13,46,55,423814,2168,613,1010,1.64763458401,anthropology;storytelling,Yes
1082,Understanding cancer through proteomics,5,11,150,39,142,805,107,84,18,160,41,4,5,24,15,409134,2167,1195,3452,2.88870292887,ted brain trust;cancer;genetics;medical research,Yes
1083,A modern take on piano  violin  cello,457,8,21,43,110,953,6,153,13,3,78,15,11,16,19,720588,2166,565,119,0.210619469027,entertainment;live music;music;performance,No
1084,A historic moment in the Arab world,128,4,31,42,128,1780,193,666,19,216,78,16,9,226,24,904121,2160,1032,2336,2.26356589147,egypt;middle east;global issues;iraq;media;politics;protests;technology,Yes
1085,My wish,549,86,399,50,428,4072,189,1319,19,61,384,28,16,517,27,2548170,2159,1449,3365,2.32229123533,ted prize;activism;art;community;photography,Yes
1086,Inside the Egyptian revolution,104,8,17,67,113,1588,104,660,13,109,40,13,7,314,19,873998,2158,591,1505,2.54653130288,egypt;democracy;global issues;politics;protests;social change,Yes
1087,How state budgets are breaking US schools,15,9,28,200,64,1957,384,124,50,689,69,31,61,125,108,1845519,2158,616,1557,2.5275974026,ted brain trust;aging;education;money;politics;youth,Yes
1088,Printing a human kidney,90,6,455,38,630,3216,48,532,9,386,871,17,10,110,14,2709002,2156,1044,2564,2.45593869732,surgery;health care;invention;medical research;prosthetics,Yes
1089,This isn't her mother's feminism,182,73,17,113,67,1647,117,508,64,82,21,118,19,172,94,899511,2155,686,1750,2.55102040816,culture;feminism;history;identity;women;writing,Yes
109,"What You've Got",272,1,3,23,31,649,24,169,12,6,48,15,12,20,13,414818,3578,312,281,0.900641025641,composing;entertainment;guitar;music;performance;performance art;piano;potential;vocals,No
1090,Let's use video to reinvent education,234,245,1913,151,1205,9373,901,2602,38,747,981,49,25,245,37,4400593,2154,1227,3587,2.92339038305,culture;education;global issues;online video;teaching,Yes
1091,Beware online "filter bubbles",65,30,238,227,979,9984,2469,1056,31,3393,617,23,21,763,72,3804976,2100,544,1413,2.59742647059,culture;global issues;journalism;politics;technology,Yes
1092,The birth of a word,387,31,823,110,1314,5171,78,572,95,570,964,28,67,49,83,2383840,2153,1192,2936,2.46308724832,brain;children;language;time,Yes
1093,How to keep rivers and streams flowing,14,8,151,53,39,821,134,139,14,182,17,7,13,27,23,582191,2152,526,1221,2.32129277567,tedx;business;environment;global issues;innovation;nature;sustainability;water,Yes
1094,The social animal,208,389,124,95,425,3100,342,703,70,412,93,36,28,92,83,1103036,2149,1124,3179,2.82829181495,brain;culture;motivation;society,Yes
1095,The sound the universe makes,181,43,71,110,520,1857,74,194,91,337,89,23,31,27,66,1064988,2148,1063,2972,2.7958607714,dark matter;science;universe,Yes
1096,A life lesson from a volunteer firefighter,365,950,74,78,91,4315,353,1974,9,39,53,14,9,299,7,2001123,2147,247,587,2.37651821862,community;compassion;culture,Yes
1098,Why light needs darkness,306,3,67,73,271,1467,88,306,44,252,10,11,5,9,22,547350,2146,1011,2760,2.72997032641,tedx;architecture;design,Yes
11,What separates us from chimpanzees?,434,34,32,60,411,3076,277,918,69,372,101,27,28,283,30,1587658,3588,1645,4373,2.65835866261,africa;animals;culture;environment;global issues;nature;primates;science,Yes
110,"Kiteflyer's Hill",393,5,2,47,24,618,3,61,9,0,35,7,2,13,17,502041,3578,378,309,0.81746031746,composing;entertainment;guitar;memory;music;performance;piano,No
1100,If I should have a daughter ...,4249,583,473,162,1164,14984,342,4808,111,111,1499,104,76,1227,75,9818114,2145,1105,3277,2.96561085973,entertainment;performance;poetry;storytelling,Yes
1101,The magic washing machine,193,830,430,74,480,4505,719,792,21,666,120,19,16,119,26,2237424,2142,555,1415,2.54954954955,culture;data;economics;women,Yes
1102,Evolution's gift of play  from bonobo apes to humans,141,273,40,157,192,1616,82,200,34,246,21,51,20,42,117,669714,2141,421,826,1.96199524941,ted fellows;animals;culture;play;science,Yes
1103,It's time to question bio-engineering,16,13,63,47,677,3082,230,117,34,649,917,90,33,93,103,1138359,2140,1182,2952,2.49746192893,tedx;biology;biomechanics;deextinction;future;genetics;philosophy;science,Yes
1104,Human exoskeletons -- for war and healing,98,11,377,90,292,2113,54,507,15,162,275,44,15,100,73,1356149,2139,383,675,1.76240208877,design;disability;exoskeleton;science;technology,Yes
1105,Singing the primal mystery,139,21,28,46,107,601,5,71,11,13,47,39,36,15,23,385416,2138,654,720,1.10091743119,tedx;creativity;entertainment;live music;music;performance,No
1106,Don't insist on English!,264,142,106,139,270,3393,519,1047,28,388,59,26,13,210,182,1531249,2135,635,1368,2.15433070866,tedx;culture;global issues;language,Yes
1107,Cracking Stuxnet  a 21st-century cyber weapon,11,13,141,60,306,1736,130,29,27,492,349,16,52,81,29,1278462,2134,640,1544,2.4125,iran;computers;government;nuclear energy;politics;science;technology;war,Yes
1108,The genius puppetry behind War Horse,368,68,416,44,337,1969,21,215,25,75,342,17,9,19,13,1468291,2133,1091,1966,1.80201649863,animals;design;entertainment;performance;theater,Yes
1109,Google's driverless car,49,12,365,128,361,2218,201,373,11,234,349,14,8,61,52,2349040,2132,254,503,1.98031496063,business;driverless cars;robots;science;technology;transportation,Yes
1110,A virtual choir 2 000 voices strong,1906,8,812,32,802,6928,43,1788,13,46,1304,24,5,130,15,3338645,2131,874,1798,2.05720823799,collaboration;conducting;crowdsourcing;entertainment;music;online video;virtual reality,Yes
1111,Hands-on science with squishy circuits,36,76,373,62,136,1248,38,233,3,210,46,11,6,2,16,816839,2128,248,664,2.67741935484,education;science;technology;toy,Yes
1112,Listen  learn ... then lead,86,30,21,193,193,3441,390,1384,84,282,121,30,24,533,70,2241318,2127,938,2586,2.75692963753,culture;global issues;iraq;leadership;peace;war,Yes
1113,Everyday compassion at Google,92,36,33,63,106,1134,140,429,27,93,15,13,13,41,33,861865,2126,848,1744,2.05660377358,business;charter for compassion;culture,Yes
1114,The greatest TED Talk ever sold,32,929,460,91,275,3066,191,306,48,281,51,37,38,280,47,1979682,2126,1168,3474,2.97431506849,brand;business;comedy;consumerism;film;humor,Yes
1115,The invention that unlocked a locked-in artist,172,19,413,13,185,2185,66,821,0,45,297,5,0,145,4,931374,2125,469,1447,3.08528784648,creativity;design;disease;invention;open-source;technology,Yes
1116,Looking past limits,693,93,21,63,257,5180,214,2113,52,39,374,11,29,1187,34,1962851,2124,1157,2701,2.33448573898,activism;business;culture,Yes
1117,A song inspired by the ocean,130,4,10,61,12,467,42,129,7,16,10,15,2,16,13,641313,2123,266,334,1.25563909774,ted prize;tedx;entertainment;music;oceans,No
1118,The history of our world in 18 minutes,507,41,332,215,2189,7377,445,1179,76,1646,421,43,61,80,142,6710242,2121,1060,2443,2.30471698113,internet;big bang;cosmos;education;history;humanity;universe;visualizations,Yes
1119,The antidote to apathy,37,60,213,140,212,4126,1068,1226,9,669,76,10,9,328,69,1570089,2120,425,1210,2.84705882353,tedx;collaboration;community;culture;education;global issues;politics,Yes
112,Why would God create a tsunami?,221,11,36,66,108,1950,98,316,104,75,27,62,87,424,315,596909,3577,1172,2281,1.94624573379,god;culture;disaster relief;global issues;natural disaster;philosophy;religion,Yes
1120,My father the forger,211,14,32,28,197,1366,15,405,9,50,66,10,11,312,6,579151,1972,840,2281,2.71547619048,tedx;culture;entertainment;global issues;history;storytelling;war,Yes
1121,Remaking my voice,268,160,40,18,109,1964,14,604,20,51,234,0,8,434,4,1072808,2119,1169,2708,2.31650983747,community;culture;speech,Yes
1122,Open-sourced blueprints for civilization,65,12,1069,40,402,3994,321,1136,6,333,348,2,3,245,12,1420315,2118,250,531,2.124,ted fellows;culture;manufacturing;open-source;technology,Yes
1124,Transplant cells  not organs,58,6,142,46,733,6622,103,3960,22,306,85,13,7,1132,9,609111,2116,986,1904,1.93103448276,business;technology,Yes
1125,A radical experiment in empathy,207,13,165,129,422,5665,1153,1060,129,493,314,189,53,1105,233,1472181,2114,1087,2813,2.58785648574,tedx;culture;empathy;global issues;iraq;politics;society;sociology;war,Yes
1126,On being wrong,447,634,539,396,929,8909,1228,2546,256,669,201,128,71,638,227,3775927,2113,1071,2510,2.34360410831,culture;failure,Yes
1127,Teaching with the World Peace Game,465,52,783,27,536,4759,235,1719,42,129,463,6,10,267,25,1339744,2112,1190,3413,2.86806722689,design;education;gaming;global issues;government;peace;politics;war,Yes
1129,What it takes to do extreme astrophysics,113,9,26,64,258,1053,25,159,27,253,61,2,11,36,9,530258,2111,848,2550,3.0070754717,exploration;journalism;science;technology;universe,Yes
113,Militant atheism,391,1179,643,162,910,14646,2452,2891,188,1083,547,386,85,3193,536,4217394,3577,1750,3913,2.236,god;atheism;culture;politics;religion;science,Yes
1130,3 things I learned while my plane crashed,1860,307,68,300,655,11147,794,5591,30,201,346,22,22,886,65,6343105,2110,302,736,2.43708609272,business;storytelling;transportation,Yes
1131,Are we ready for neo-evolution?,31,47,81,86,607,2164,217,224,73,464,171,28,12,67,56,1006947,2107,1041,2320,2.22862632085,evolution;medicine;philosophy;science;technology,Yes
1132,The security mirage,7,16,47,136,150,1337,243,67,138,429,21,11,38,14,20,713292,2106,1265,3170,2.50592885375,tedx;culture;global issues;security;technology;terrorism,Yes
1133,Using nature to grow batteries,23,63,635,16,533,2409,102,239,15,252,456,11,30,25,9,843789,2105,625,1927,3.0832,dna;tedx;alternative energy;biology;evolution;genetics;nature;science;virus,Yes
1134,A next-generation digital book,140,19,355,132,318,1845,44,210,11,255,180,60,6,7,108,1483694,2104,274,597,2.17883211679,demo;design;entertainment;software;technology,Yes
1135,Turning trash into toys for learning,179,143,466,50,371,2376,66,720,14,171,124,1,16,49,6,1309290,2103,930,2721,2.92580645161,design;education;play;science;technology;toy,Yes
1136,The mothers who found forgiveness  friendship,217,2,10,20,24,1118,30,376,7,22,36,13,8,328,25,787651,2099,594,1027,1.72895622896,culture;friendship;global issues;parenting;politics;terrorism,Yes
1137,Architecture that senses and responds,132,12,235,67,230,1185,18,164,27,103,82,21,28,9,57,641951,2099,946,2328,2.46088794926,cities;design;entertainment;technology,Yes
1138,Grow your own clothes,60,31,356,62,318,1513,36,246,6,223,81,10,5,29,50,1169001,2098,400,1005,2.5125,ted fellows;bacteria;biology;biotech;creativity;design;fashion;materials;technology,Yes
1139,Distant time and the hint of a multiverse,70,165,170,72,1012,2927,157,245,48,655,175,4,69,38,47,1493371,2097,954,3000,3.14465408805,string theory;tedx;astronomy;cosmos;philosophy;physics;science;time;universe,Yes
114,A comic sendup of TED2006,17,599,93,68,19,1166,1,18,54,11,39,116,56,38,37,590998,3577,1195,2317,1.93891213389,comedy;culture;humor;performance,Yes
1140,The hidden beauty of pollination,1582,12,84,44,714,3874,59,627,18,168,502,13,18,20,13,1793558,2096,468,461,0.985042735043,beauty;bees;botany;evolution;film;garden;insects;life;nature;plants;science,Yes
1141,Animal tales from icy wonderlands,1095,290,33,30,878,4683,213,863,4,257,609,2,8,396,5,1905949,2093,1075,3269,3.04093023256,animals;biodiversity;creativity;culture;design;entertainment;photography;storytelling,Yes
1142,Silk  the ancient material of the future,36,7,581,24,464,2100,86,216,7,335,310,7,15,3,9,736649,2092,580,1650,2.84482758621,biology;biomimicry;design;green;invention;life;medicine;science;technology,Yes
1143,The hidden power of smiling,542,941,164,241,878,6393,601,1755,34,1005,66,11,21,60,74,4440300,2091,446,1012,2.26905829596,body language;culture;happiness;science;society,Yes
1144,Building a museum of museums on the web,180,32,244,26,244,1280,37,219,0,162,123,0,0,10,3,588790,2090,335,970,2.89552238806,art;design;technology,Yes
1145,My friend Richard Feynman,76,167,32,83,176,1112,18,246,78,173,7,20,12,5,19,805461,2089,881,2347,2.66401816118,tedx;culture;history;physics;science;storytelling,Yes
1146,A light switch for neurons,23,0,382,27,464,1822,37,153,29,262,382,13,15,28,7,898733,2087,1104,3890,3.52355072464,brain;neuroscience;science;technology,Yes
1147,Building the Seed Cathedral,545,51,556,27,443,2727,43,588,15,92,286,3,8,64,6,1540037,2085,1012,2499,2.46936758893,architecture;biomimicry;creativity;design;science and art,Yes
1148,The mystery of chronic pain,58,107,89,136,586,3125,176,342,17,1469,60,1,12,50,22,1708654,2084,494,1321,2.67408906883,senses;brain;health;health care;pain;science,Yes
1149,The weird  wonderful world of bioluminescence,524,89,24,49,587,1972,14,162,4,260,218,11,4,17,9,1146054,2083,765,1901,2.48496732026,biology;deextinction;exploration;oceans;photography;science,Yes
115,"La Vie en Rose",221,58,27,52,43,515,1,40,4,0,12,14,8,9,26,431286,3577,201,102,0.507462686567,entertainment;live music;music;performance,No
1150,How to tie your shoes,90,1332,540,200,244,4176,222,166,22,1055,160,51,18,28,48,5901194,2082,179,418,2.33519553073,culture;demo;entertainment,No
1152,Visualizing ourselves ... with crowd-sourced data,446,62,480,75,613,2853,34,564,42,189,235,19,35,23,36,1415579,2079,1098,3445,3.13752276867,art;collaboration;crowdsourcing;data;design;technology;visualizations,Yes
1153,How we'll stop polio for good,22,0,10,5,38,702,128,236,13,136,40,0,2,67,5,489834,2078,1389,3666,2.63930885529,vaccines;disease;global issues;health;science,Yes
1154,Art in exile,133,9,5,35,92,1135,43,309,17,146,39,17,11,248,31,618746,2077,644,1409,2.18788819876,art;film;global issues;photography;politics;women,Yes
1155,Faith versus tradition in Islam,79,17,42,97,195,2368,364,333,53,705,28,59,49,183,164,1069688,2076,1031,2869,2.78273520854,egypt;islam;tedx;culture;democracy;religion,Yes
1156,On violin and cello  "Passacaglia",536,3,26,26,89,1051,4,183,5,2,157,2,0,14,4,726035,2075,561,0,0.0,ted fellows;collaboration;creativity;entertainment;live music,No
1158,Making a car for blind drivers,61,13,272,23,185,1306,44,357,6,79,162,1,5,85,13,679778,2071,548,1511,2.75729927007,senses;design;sight;technology;transportation,Yes
1159,7 rules for making more happiness,140,126,80,329,92,1751,51,304,79,98,13,32,152,20,235,1602174,2070,573,1396,2.43630017452,ted brain trust;art;design;film;happiness;motivation,Yes
116,Dangerous memes,66,88,324,220,752,5273,1703,482,166,845,140,62,103,177,145,1521390,3499,926,1957,2.11339092873,ted brain trust;culture;faith;meme;philosophy;religion,Yes
